// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39
// command took 1.09s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39
// command took 11.77s and exited with 1
// start dotnet build -c Release  --no-restore --no-dependencies /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39
// command took 2.12s and exited with 0
// ***** Done, took 00:00:15 (15.06 sec)   *****
// Found 3 benchmarks:
//   Loop.ForLoop: DefaultJob
//   Loop.ForEachLoop: DefaultJob
//   Loop.ForEachLambdaLoop: DefaultJob

// **************************
// Benchmark: Loop.ForLoop: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "3ad14aba-8a4e-4248-9a91-2b5d55d91d39.dll" --benchmarkName "sharplab.Loop.ForLoop" --job "Default" --benchmarkId 0 in C:\temp\sharplab\bin\release\net5.0\3ad14aba-8a4e-4248-9a91-2b5d55d91d39\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.4 (CoreCLR 5.0.421.11614, CoreFX 5.0.421.11614), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

ConfidenceInterval = [22.526 ns; 22.915 ns] (CI 99.9%), Margin = 0.194 ns (0.86% of Mean)
Skewness = 0.52, Kurtosis = 1.97, MValue = 2
-------------------- Histogram --------------------
[22.408 ns ; 23.142 ns) | @@@@@@@@@@@@@@
---------------------------------------------------

Loop.ForEachLambdaLoop: DefaultJob
Runtime = .NET Core 5.0.4 (CoreCLR 5.0.421.11614, CoreFX 5.0.421.11614), X64 RyuJIT; GC = Concurrent Workstation
Mean = 25.017 ns, StdErr = 0.047 ns (0.19%), N = 15, StdDev = 0.183 ns
Min = 24.777 ns, Q1 = 24.901 ns, Median = 25.016 ns, Q3 = 25.137 ns, Max = 25.453 ns
IQR = 0.236 ns, LowerFence = 24.547 ns, UpperFence = 25.491 ns
ConfidenceInterval = [24.821 ns; 25.213 ns] (CI 99.9%), Margin = 0.196 ns (0.78% of Mean)
Skewness = 0.55, Kurtosis = 2.8, MValue = 2
-------------------- Histogram --------------------
[24.680 ns ; 25.550 ns) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.19042
AMD Ryzen 5 3600X, 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=5.0.201
  [Host]     : .NET Core 5.0.4 (CoreCLR 5.0.421.11614, CoreFX 5.0.421.11614), X64 RyuJIT
  DefaultJob : .NET Core 5.0.4 (CoreCLR 5.0.421.11614, CoreFX 5.0.421.11614), X64 RyuJIT


|            Method |     Mean |    Error |   StdDev | Ratio | RatioSD |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|------------------ |---------:|---------:|---------:|------:|--------:|-------:|------:|------:|----------:|
|           ForLoop | 10.45 ns | 0.028 ns | 0.024 ns |  1.00 |    0.00 |      - |     - |     - |         - |
|       ForEachLoop | 22.72 ns | 0.194 ns | 0.172 ns |  2.17 |    0.02 |      - |     - |     - |         - |
| ForEachLambdaLoop | 25.02 ns | 0.196 ns | 0.183 ns |  2.39 |    0.01 | 0.0076 |     - |     - |      64 B |

// * Hints *
Outliers
  Loop.ForLoop: Default     -> 2 outliers were removed, 4 outliers were detected (11.88 ns, 11.90 ns, 11.99 ns, 12.13 ns)
  Loop.ForEachLoop: Default -> 1 outlier  was  removed (25.21 ns)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Ratio     : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD   : Standard deviation of the ratio distribution ([Current]/[Baseline])
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:12 (72.59 sec), executed benchmarks: 3

Global total time: 00:01:27 (87.66 sec), executed benchmarks: 3
// * Artifacts cleanup *
